date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:18	16340/16340	---M--	200	added ('OK')	image/png	etag:%22a2bb72c31847b2e4bfef07ef88aaeec0-ssl%22	https://wellco-jekyll.netlify.app/assets/images/blog/blockquote_bg.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/blog/blockquote_bg.png	(from https://wellco-jekyll.netlify.app/assets/css/style.css)
17:24:19	6702/6702	---M--	200	added ('OK')	image/png	etag:%22ec478af520bc510d8632cacfeedad7b4-ssl%22	https://wellco-jekyll.netlify.app/assets/images/elements/element_33.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/elements/element_33.png	(from https://wellco-jekyll.netlify.app/assets/css/style.css)
17:24:20	15717/15717	---M--	200	added ('OK')	image/png	etag:%22e5d9bcfc9bd442ca230ee92b3bcb2083-ssl%22	https://wellco-jekyll.netlify.app/assets/images/bg/sidebar_shape.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/bg/sidebar_shape.png	(from https://wellco-jekyll.netlify.app/assets/css/style.css)
17:24:21	5627/5627	---M--	200	added ('OK')	image/png	etag:%22e72b43762ee75b08da2b2e0e1eefe2a7-ssl%22	https://wellco-jekyll.netlify.app/assets/images/bg/widget_header.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/bg/widget_header.png	(from https://wellco-jekyll.netlify.app/assets/css/style.css)
17:24:21	0/-1	---M--	301	error ('')			https://wellco-jekyll.netlify.app/index	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/index.83.delayed	(from https://wellco-jekyll.netlify.app/index-2)
17:24:21	0/-1	---M--	301	error ('')			https://wellco-jekyll.netlify.app/index	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/index.84.delayed	(from https://wellco-jekyll.netlify.app/index-2)
17:24:21	82984/82984	---MCZ	200	added ('OK')	text/html	etag:%2242e91a14eabd2db82c9b18180a580472-ssl-df%22	https://wellco-jekyll.netlify.app/index-2.html	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/index-4.html	(from https://wellco-jekyll.netlify.app/index-2)
17:24:23	267/267	---M--	200	added ('OK')	image/png	etag:%22570c872b183bfe39640510abef4db405-ssl%22	https://wellco-jekyll.netlify.app/assets/images/elements/element_11.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/elements/element_11.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:23	528976/528976	---M--	200	added ('OK')	image/png	etag:%221198a05865029f3ec121f907e61a925c-ssl%22	https://wellco-jekyll.netlify.app/assets/images/elements/element_8.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/elements/element_8.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:23	359/359	---M--	200	added ('OK')	image/png	etag:%225651869568bcbdaed9467ceadcdbc238-ssl%22	https://wellco-jekyll.netlify.app/assets/images/elements/element_12.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/elements/element_12.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:24	823/823	---M--	200	added ('OK')	image/png	etag:%22558a63775090ae033e1d7fb8c294c16f-ssl%22	https://wellco-jekyll.netlify.app/assets/images/elements/element_9.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/elements/element_9.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:25	631/631	---M--	200	added ('OK')	image/png	etag:%22f6b21c274949eca28a5c852b3bf5f42e-ssl%22	https://wellco-jekyll.netlify.app/assets/images/elements/element_10.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/elements/element_10.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:27	215594/215594	---M--	200	added ('OK')	image/png	etag:%221086505770094c44fdc436981f695d89-ssl%22	https://wellco-jekyll.netlify.app/assets/images/banner/banner_shape.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/banner/banner_shape.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:27	2959/2959	---M--	200	added ('OK')	image/png	etag:%22470dab9c6cf7e4fdd60d1a11e791ee49-ssl%22	https://wellco-jekyll.netlify.app/assets/images/icons/icon_6.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/icons/icon_6.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:28	3435/3435	---M--	200	added ('OK')	image/png	etag:%22d911b9d0652b68b40164b56f7566d1f4-ssl%22	https://wellco-jekyll.netlify.app/assets/images/icons/icon_7.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/icons/icon_7.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:28	2407/2407	---M--	200	added ('OK')	image/png	etag:%229293b6db4554ddcf2769c0a17445b664-ssl%22	https://wellco-jekyll.netlify.app/assets/images/icons/icon_8.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/icons/icon_8.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:29	3857/3857	---M--	200	added ('OK')	image/png	etag:%226c515ff2a1c7d7e82ae01dc3051684d5-ssl%22	https://wellco-jekyll.netlify.app/assets/images/icons/icon_9.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/icons/icon_9.png	(from https://wellco-jekyll.netlify.app/index-2)
17:24:30	21967/21967	---M--	200	added ('OK')	image/jpeg	etag:%22c0cda6548d15086b3754764f11a5ff26-ssl%22	https://wellco-jekyll.netlify.app/assets/images/whyus_bg.jpg	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/whyus_bg.jpg	(from https://wellco-jekyll.netlify.app/index-2)
17:24:31	158316/158316	---M--	200	added ('OK')	image/png	etag:%22b679365e824e96244ce228f408718ed3-ssl%22	https://wellco-jekyll.netlify.app/assets/images/video_img.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/video_img.png	(from https://wellco-jekyll.netlify.app/index-2)
